‰‡Ú‡;»ÕÕ ÔÎ‡Ú.; ¡ ;—‡Î¸‰Ó
01.01.2015;266017235;18210907052040000110;-12893,99
01.01.2015;266017235;18210703000010000110;-20,43
01.01.2015;266017235;18210908060010000140;-2,55
01.01.2015;266017235;18210908040080000140;-15,66
01.01.2015;266017235;18210901020040000110;-2464,66
01.01.2015;266017235;18210904030010000110;-16793,92
01.01.2015;266017235;18210907032040000110;-379,93
01.01.2015;266017235;18210908030070000140;-471,66
01.01.2015;266017235;18210908020060000140;-76,9
01.01.2015;266017235;18210101011010000110;-3,03
01.01.2015;266017235;18210904010020000110;-10276,09
01.01.2015;274065433;18210301000010000110;-1100
01.01.2015;274065433;18210703000010000110;-0,01
01.01.2015;266016739;18210907032040000110;-3,95
01.01.2015;266024063;18210101012020000110;-52,23
01.01.2015;266016190;18210501030010000110;-39,74
01.01.2015;275043200;18210602010020000110;-563,4
01.01.2015;266011402;18210908030070000140;-21,04
01.01.2015;266011402;18210904010020000110;-244,63
01.01.2015;274151386;18210604011020000110;-1,53
01.01.2015;266007854;18210904020020000110;-0,01
01.01.2015;266003360;18210904030010000110;-250,11
01.01.2015;266003360;18210904010020000110;-237,21
01.01.2015;266003360;18210101012020000110;-5684,6
01.01.2015;266003360;18210905050010000110;-891,25
01.01.2015;266003360;18210102010010000110;-4,08
01.01.2015;266003360;18210908020060000140;-777,26
01.01.2015;266003360;18210301000010000110;-6147,2
01.01.2015;266003360;18210101011010000110;-4467,84
01.01.2015;266003360;18210901020040000110;-1716,63
01.01.2015;266011339;18210905010010000110;-11096,02
01.01.2015;266011339;18210301000010000110;-13790,03
01.01.2015;266002581;18210301000010000110;-1978,8
01.01.2015;266002581;18210908030070000140;-56,26
01.01.2015;266007484;18210908030070000140;-67,4
01.01.2015;266007484;18210908020060000140;-5034,61
01.01.2015;266010832;18210301000010000110;-52768,69
01.01.2015;266010832;18210907052040000110;-7059,49
01.01.2015;266010832;18210905050010000110;-542,63
01.01.2015;266010832;18210904010020000110;-1563,23
01.01.2015;266010832;18210908060010000140;-272,34
01.01.2015;266010832;18210907032040000110;-146,26
01.01.2015;266010832;18210904030010000110;-600,56
01.01.2015;266010832;18210908020060000140;-2270,01
01.01.2015;266010832;18210908040080000140;-909,26
01.01.2015;266010832;18210908030070000140;-712,51
01.01.2015;266002550;18210301000010000110;-2529,63
