Дата;инн;КБК;сальдо
01.03.2015;0266004243;18210905050010000110;-756,08
01.03.2015;0266004243;18210907052040000110;-207,45
01.03.2015;0266004243;18210101011010000110;-1517,14
01.03.2015;0266004243;18210905050010000110;-249,65
01.03.2015;0266004243;18210101011010000110;-4510,98
01.03.2015;0266004243;18210908020060000140;-3180
01.03.2015;0266004243;18210904010020000110;-4892,5
01.03.2015;0266004243;18210908060010000140;-501,79
01.03.2015;0266005590;18210101011010000110;-122,44
01.03.2015;0266005590;18210101012020000110;-5799,51
01.03.2015;0266005590;18210301000010000110;-643,04
01.03.2015;0266005590;18210101011010000110;-4427,2
01.03.2015;0266005590;18210101012020000110;-146,11
01.03.2015;0266005590;18210901020040000110;-1706,44
01.03.2015;0266004652;18210101012020000110;-282,22
01.03.2015;0266004652;18210908060010000140;-175,21
01.03.2015;0266004652;18210904030010000110;-1556,93
01.03.2015;0266004652;18210904010020000110;-124817,82
01.03.2015;0266004652;18210908020060000140;-1197
01.03.2015;0266004652;18210905050010000110;-119,71
01.03.2015;0266004652;18210301000010000110;-4517,72
01.03.2015;0266004652;18210101011010000110;-215,44
01.03.2015;0266004652;18210908020060000140;-1866,88
01.03.2015;0266004652;18210101012020000110;-800,09
01.03.2015;0266004652;18210908030070000140;-2685,88
01.03.2015;0266004652;18210901020040000110;-269,05
01.03.2015;0266004652;18210101011010000110;-676,95
01.03.2015;0266004652;18210905050010000110;-367,9
01.03.2015;0266004652;18210908030070000140;-1442
01.03.2015;0266004652;18210907032040000110;-125,75
01.03.2015;0266004652;18210908040080000140;-658,64
01.03.2015;0266004652;18210908040080000140;-149,04
01.03.2015;0266004652;18210301000010000110;-1380,04
01.03.2015;0266004652;18210904010020000110;-43847,97
01.03.2015;0266004652;18210907052040000110;-903,76
01.03.2015;0266004652;18210904030010000110;-4816,71
01.03.2015;0266004652;18210907052040000110;-284,46
01.03.2015;0266004652;18210102010010000110;-183,78
01.03.2015;0266011522;18210908030070000140;-148
01.03.2015;0266011522;18210904010020000110;-205,83
01.03.2015;0266011522;18210904010020000110;-579,31
01.03.2015;0266016055;18210604011020000110;-1536,53
01.03.2015;0266016055;18210602010020000110;-29092,88
01.03.2015;0266016055;18210604011020000110;-3700
01.03.2015;0266016055;18210602010020000110;-11018,56
01.03.2015;0266034304;18210301000010000110;-1000
01.03.2015;0266014227;18210908020060000140;-102
01.03.2015;0266014227;18210908020060000140;-585,8
01.03.2015;0266033389;18210501050010000110;-600,54
01.03.2015;0266006579;18210301000010000110;-213,01
01.03.2015;0266003507;18210907052040000110;-4131,13
01.03.2015;0266003507;18210908030070000140;-5402
01.03.2015;0266003507;18210905050010000110;-1106,3
01.03.2015;0266003507;18210908040080000140;-7405,94
01.03.2015;0266003507;18210907052040000110;-1455,5
01.03.2015;0266003507;18210905050010000110;-3148,09
01.03.2015;0266003507;18210301000010000110;-7429,76
01.03.2015;0266003507;18210908020060000140;-26132,49
01.03.2015;0266003507;18210908030070000140;-6354,36
01.03.2015;0266003507;18210908060010000140;-1543,85
01.03.2015;0266003507;18210908020060000140;-19862
01.03.2015;0266003507;18210908040080000140;-2528,01
01.03.2015;0266003507;18210908060010000140;-729,42
01.03.2015;0266003507;18210904030010000110;-919
01.03.2015;0266003507;18210102010010000110;-89831,97
01.03.2015;0266003507;18210904010020000110;-267,54
01.03.2015;0266003507;18210904030010000110;-2617,15
01.03.2015;0266003507;18210301000010000110;-21096,88
01.03.2015;0266008819;18210901020040000110;-498,04
01.03.2015;0266008819;18210101011010000110;-1292,11
01.03.2015;0266008819;18210101012020000110;-1692,62
01.03.2015;0266002711;18210101012020000110;-280,27
01.03.2015;0266002711;18210101012020000110;-869,63
01.03.2015;0266002711;18210301000010000110;-3584,46
01.03.2015;0266002711;18210905050010000110;-657,55
01.03.2015;0266002711;18210901020040000110;-281,35
01.03.2015;0266002711;18210904030010000110;-204,41
01.03.2015;0266002711;18210905050010000110;-182,18
01.03.2015;0266002711;18210101011010000110;-213,96
01.03.2015;0266002711;18210101011010000110;-737,17
01.03.2015;0266002711;18210301000010000110;-577,5
01.03.2015;0266002711;18210301000010000110;-992,78
01.03.2015;0266005790;18210101012020000110;-11498,26
01.03.2015;0266005790;18210101012020000110;-148,57
01.03.2015;0266005790;18210908030070000140;-167,18
01.03.2015;0266005790;18210101011010000110;-8596,32
01.03.2015;0266005790;18210901020040000110;-3379,19
01.03.2015;0266005790;18210101011010000110;-113,41
01.03.2015;0266005790;18210908030070000140;-259
01.03.2015;0266005790;18210901020040000110;-1078,14
01.03.2015;0266005790;18210101012020000110;-3664,19
01.03.2015;0266005790;18210101011010000110;-2797,15
01.03.2015;0266008079;18210908030070000140;-387,22
01.03.2015;0266008079;18210908030070000140;-600
01.03.2015;0277004301;18210907032040000110;-100,56
01.03.2015;0242007245;18210502010020000110;-62120
01.03.2015;0242007245;18210502010020000110;-16787,44
01.03.2015;0242007245;18210502010020000110;-1000
01.03.2015;0274068089;18210102021010000110;-122743
01.03.2015;0266019056;18211603010010000140;-600
01.03.2015;0266019056;18210301000010000110;-2000
01.03.2015;0266028692;18210602020020000110;-37335
01.03.2015;0266028692;18210101012020000110;-827
01.03.2015;0266028692;18210602020020000110;-3439,82
01.03.2015;0266028692;18210606032040000110;-1000
01.03.2015;0266007942;18211603010010000140;-200
01.03.2015;0266007942;18210602010020000110;-919
01.03.2015;0266007942;18210606032040000110;-8186,6
01.03.2015;0266007942;18210606032040000110;-2726,22
01.03.2015;0266007942;18210604011020000110;-179,18
01.03.2015;0266018694;18210606032040000110;-371,61
01.03.2015;0266021104;18210909010010000110;-171,38
01.03.2015;0266021104;18210909020070000110;-306,19
01.03.2015;0266019017;18210909030080000110;-169,25
01.03.2015;0266019000;18210909010010000110;-3578,29
01.03.2015;0266018535;18210909010010000110;-636,53
01.03.2015;0266018535;18210909030080000110;-146,73
01.03.2015;0266021111;18210909010010000110;-205,53
01.03.2015;0266018542;18210909030080000110;-175,37
01.03.2015;0266019070;18210909020070000110;-335,58
01.03.2015;0266019070;18210909030080000110;-1350,53
01.03.2015;0266019049;18210909030080000110;-1218,24
01.03.2015;0266019049;18210909010010000110;-2402,56
01.03.2015;0266015781;18210904030010000110;-266,58
01.03.2015;0266018246;18210909020070000110;-12607,6
01.03.2015;0266018246;18210909030080000110;-733,73
01.03.2015;0266019426;18210909030080000110;-1248,39
01.03.2015;0266033830;18210602010020000110;-251,37
01.03.2015;0266017940;18210604011020000110;-456,78
01.03.2015;0266018944;18210604011020000110;-2520
01.03.2015;0266018944;18210604011020000110;-753,05
01.03.2015;0266019225;18210909030080000110;-916,71
01.03.2015;0266015439;18210909030080000110;-797,12
01.03.2015;0266018736;18210909030080000110;-380,5
01.03.2015;0266018736;18210909010010000110;-806,87
01.03.2015;0266010737;18210301000010000110;-361,6
01.03.2015;0266010737;18210904030010000110;-2192,01
01.03.2015;0266010737;18210901020040000110;-488,88
01.03.2015;0266010737;18210101012020000110;-2415,36
01.03.2015;0266018461;18210604011020000110;-2213
01.03.2015;0266015904;18210909030080000110;-938,95
01.03.2015;0266015911;18210604011020000110;-757,49
01.03.2015;0266015911;18211603010010000140;-150
01.03.2015;0266023038;18210909010010000110;-3159,51
01.03.2015;0266023038;18210909030080000110;-1192,52
01.03.2015;0266017411;18210602010020000110;-120
01.03.2015;0266017411;18210602010020000110;-1000
01.03.2015;0266017404;18210602010020000110;-6559
01.03.2015;0266017404;18210602010020000110;-1158,02
01.03.2015;0266018373;18210909020070000110;-21078,92
01.03.2015;0266019240;18210606032040000110;-4837,94
01.03.2015;0266019240;18210909020070000110;-1908,64
01.03.2015;0266019240;18210909030080000110;-2033,01
01.03.2015;0266019240;18210606032040000110;-39079
01.03.2015;0266019240;18210909010010000110;-4485,71
01.03.2015;0266025927;18210604011020000110;-1000
01.03.2015;0266018091;18210604011020000110;-862,71
01.03.2015;0266018091;18210602010020000110;-1000
01.03.2015;0266028011;18210101011010000110;-213,63
01.03.2015;0266028011;18210101012020000110;-2848,47
01.03.2015;0266028011;18210101011010000110;-1237
01.03.2015;0266028011;18210602010020000110;-30617,03
01.03.2015;0266028011;18210101012020000110;-668
01.03.2015;0266028011;18210909030080000110;-313,35
01.03.2015;0266028011;18210606032040000110;-1000
01.03.2015;0266028011;18210909010010000110;-8496,59
01.03.2015;0266028011;18210909010010000110;-2252,97
01.03.2015;0266028011;18210602010020000110;-227573
01.03.2015;0266025998;18210602010020000110;-1529,56
01.03.2015;0266025998;18210301000010000110;-1000
01.03.2015;0266025998;18210602010020000110;-1373
01.03.2015;0266025998;18211603010010000140;-200
01.03.2015;0266025998;18210101012020000110;-900
01.03.2015;0266025998;18210602010020000110;-284
01.03.2015;0266025998;18210604011020000110;-2000
01.03.2015;0266035548;18210301000010000110;-1000
01.03.2015;0266035548;18210101012020000110;-127,63
