ƒ‡Ú‡;»ÌÌ; ¡ ;—‡Î¸‰Ó
01.04.2015;0266003507;18210904030010000110;-3543,75
01.04.2015;0266003507;18210904010020000110;-355,18
01.04.2015;0266003507;18210301000010000110;-28587,96
01.04.2015;0266003507;18210905050010000110;-4263,54
01.04.2015;0266003507;18210908060010000140;-2273,27
01.04.2015;0266003507;18210908030070000140;-11756,36
01.04.2015;0266003507;18210102010010000110;-89831,97
01.04.2015;0266008819;18210901020040000110;-498,04
01.04.2015;0266008819;18210101012020000110;-1692,62
01.04.2015;0266008819;18210101011010000110;-1292,11
01.04.2015;0266002711;18210905050010000110;-859,45
01.04.2015;0266002711;18210101011010000110;-974,33
01.04.2015;0266002711;18210904030010000110;-261,33
01.04.2015;0266002711;18210101012020000110;-1180,28
01.04.2015;0266002711;18210301000010000110;-5162,96
01.04.2015;0266002711;18210901020040000110;-372,77
01.04.2015;0266005790;18210901020040000110;-4509,99
01.04.2015;0266005790;18210101011010000110;-11529,97
01.04.2015;0266005790;18210101012020000110;-15341,26
01.04.2015;0266005790;18210908030070000140;-426,18
01.04.2015;0266008079;18210908030070000140;-987,22
01.04.2015;0277004301;18210907032040000110;-173,16
01.04.2015;0242007245;18210502010020000110;-80419,96
01.04.2015;0266019056;18210602010020000110;-115,83
01.04.2015;0266019056;18211603010010000140;-600
01.04.2015;0266019056;18210301000010000110;-2000
01.04.2015;0266028692;18210101012020000110;-827
01.04.2015;0266028692;18210602020020000110;-41082,86
01.04.2015;0266028692;18210606032040000110;-1009,53
01.04.2015;0266007942;18210604011020000110;-179,18
01.04.2015;0266007942;18211603010010000140;-800
01.04.2015;0266007942;18210606032040000110;-2764,5
01.04.2015;0266007942;18210101011010000110;-105
01.04.2015;0266007942;18210602010020000110;-2379,03
01.04.2015;0266017500;18210602010020000110;-5175,19
01.04.2015;0266018694;18210606032040000110;-372,62
01.04.2015;0266021104;18210909020070000110;-306,19
01.04.2015;0266021104;18210909010010000110;-171,38
01.04.2015;0266019017;18210909030080000110;-169,25
01.04.2015;0266019000;18210909010010000110;-3578,29
01.04.2015;0266018535;18210909030080000110;-146,73
01.04.2015;0266018535;18210909010010000110;-636,53
01.04.2015;0266021111;18210909010010000110;-205,53
01.04.2015;0266018542;18210909030080000110;-175,37
01.04.2015;0266019070;18210909020070000110;-335,58
01.04.2015;0266019070;18210909030080000110;-1350,53
01.04.2015;0266019049;18210909010010000110;-2402,56
01.04.2015;0266019049;18210909030080000110;-1218,24
01.04.2015;0266015781;18210904030010000110;-357,33
01.04.2015;0266018246;18210604011020000110;-101,4
01.04.2015;0266019426;18210909030080000110;-1248,39
01.04.2015;0266033830;18210602010020000110;-251,37
01.04.2015;0266017940;18210604011020000110;-456,78
01.04.2015;0266018944;18210604011020000110;-3293,87
01.04.2015;0266019225;18210909030080000110;-916,71
01.04.2015;0266015439;18210909030080000110;-797,12
01.04.2015;0266018736;18210909010010000110;-806,87
01.04.2015;0266018736;18210909030080000110;-380,5
01.04.2015;0266010737;18210301000010000110;-361,6
01.04.2015;0266010737;18210904030010000110;-2192,01
01.04.2015;0266010737;18210101012020000110;-2415,36
01.04.2015;0266010737;18210901020040000110;-488,88
01.04.2015;0266018461;18210604011020000110;-2218,06
01.04.2015;0266015904;18210909030080000110;-938,95
01.04.2015;0266015911;18211603010010000140;-150
01.04.2015;0266015911;18210604011020000110;-757,49
01.04.2015;0266023038;18210909030080000110;-1192,52
01.04.2015;0266023038;18210909010010000110;-3159,51
01.04.2015;0266017411;18210602010020000110;-1120
01.04.2015;0266017404;18210602010020000110;-2158,02
01.04.2015;0266018373;18210909020070000110;-21078,92
01.04.2015;0266019240;18210606032040000110;-44239,38
01.04.2015;0266019240;18210909020070000110;-1908,64
01.04.2015;0266019240;18210909010010000110;-4485,71
01.04.2015;0266019240;18210909030080000110;-2033,01
01.04.2015;0266025927;18210604011020000110;-1000
01.04.2015;0266018091;18210602010020000110;-1000,18
01.04.2015;0266028011;18210606032040000110;-1000
01.04.2015;0266028011;18210909030080000110;-313,35
01.04.2015;0266028011;18210909010010000110;-10768,16
01.04.2015;0266028011;18210602010020000110;-2396,78
01.04.2015;0266028011;18210101012020000110;-3581
01.04.2015;0266028011;18210101011010000110;-1465,84
01.04.2015;0266025998;18211603010010000140;-200
01.04.2015;0266025998;18210101012020000110;-2674,49
01.04.2015;0266025998;18210604011020000110;-2056,29
01.04.2015;0266025998;18210101011010000110;-297,05
01.04.2015;0266025998;18210602010020000110;-1819,23
01.04.2015;0266025998;18210301000010000110;-1000
01.04.2015;0266035548;18210101012020000110;-394,84
01.04.2015;0266035548;18210301000010000110;-1000
01.04.2015;0266004733;18210908020060000140;-2181,52
01.04.2015;2014030545;18210102010010000110;-3790,1
01.04.2015;2014030545;18210102010010000110;-3206,39
01.04.2015;2014030545;18210102010010000110;-4354,15
01.04.2015;0261009022;18210606032040000110;-4187,67
01.04.2015;0266027811;18211603010010000140;-400
01.04.2015;0266990290;18210101012020000110;-900
01.04.2015;0266005303;18210908020060000140;-2174,99
01.04.2015;0266005303;18210905050010000110;-8545,59
01.04.2015;0266005303;18210908030070000140;-10020,11
01.04.2015;0266005303;18210301000010000110;-69189,3
01.04.2015;0266031127;18210501011010000110;-440,94
01.04.2015;0266013505;18210301000010000110;-137,26
01.04.2015;0266003296;18210101011010000110;-13606,35
01.04.2015;0266003296;18210905050010000110;-369,06
01.04.2015;0266003296;18210301000010000110;-51888,91
01.04.2015;0266003296;18210906010020000110;-2192,49
01.04.2015;0266003296;18210904030010000110;-3647,01
01.04.2015;0266003296;18210901020040000110;-14293,87
01.04.2015;0266003296;18210904020020000110;-289,44
01.04.2015;0266003296;18210604011020000110;-19211,66
01.04.2015;0266003296;18210101012020000110;-21674,07
01.04.2015;0266008583;18210906010020000110;-5353,23
01.04.2015;0266008583;18210301000010000110;-13601,03
01.04.2015;0266008583;18210908040080000140;-940,86
01.04.2015;0266008583;18210904030010000110;-979,82
01.04.2015;0266008583;18210907032040000110;-533,82
01.04.2015;0266008583;18210908060010000140;-374,89
01.04.2015;0266008583;18210907052040000110;-1733,76
01.04.2015;0266003056;18210301000010000110;-81120,65
01.04.2015;0266007910;18210904010020000110;-431,5
01.04.2015;0266007910;18210908030070000140;-10650,53
01.04.2015;0266007910;18210904030010000110;-560,08
01.04.2015;0266007910;18210908040080000140;-1005,68
01.04.2015;0266007910;18210907052040000110;-136,21
01.04.2015;0266007910;18210301000010000110;-3687,87
01.04.2015;0266007910;18210905050010000110;-145,51
01.04.2015;0266007910;18210908020060000140;-2139,86
01.04.2015;0266007910;18210908060010000140;-243,19
01.04.2015;0266007910;18210907032040000110;-297,99
01.04.2015;0266004620;18210908020060000140;-804,43
01.04.2015;0266008400;18210501011010000110;-146,72
01.04.2015;0266008400;18210604011020000110;-1002,42
01.04.2015;0266026222;18210606032040000110;-617,7
01.04.2015;0266026222;18210501021010000110;-3274,33
01.04.2015;0266031254;18210606032040000110;-557,57
01.04.2015;0266019169;18210909010010000110;-378,68
01.04.2015;0266019169;18210909030080000110;-429,46
01.04.2015;0266017210;18210604011020000110;-355,25
01.04.2015;0266020950;18210604011020000110;-637,51
01.04.2015;0266005536;18210101012020000110;-3369,3
01.04.2015;0266005536;18210909030080000110;-4594,27
01.04.2015;0266005536;18210301000010000110;-29222,96
01.04.2015;0266005536;18210901020040000110;-1188,34
01.04.2015;0266005536;18210906010020000110;-1724,97
01.04.2015;0266005536;18210909020070000110;-4093,36
01.04.2015;0266005536;18210101011010000110;-1934,97
01.04.2015;0266005536;18210904030010000110;-1841,41
01.04.2015;0266005536;18210604011020000110;-2220,75
01.04.2015;0266005536;18210907032040000110;-889,14
01.04.2015;0266005536;18210904010020000110;-8976,63
01.04.2015;0266005536;18210602010020000110;-2783,18
01.04.2015;0266005536;18210909010010000110;-31052,09
01.04.2015;0266016270;18210501021010000110;-1035,87
01.04.2015;0266001651;18211603010010000140;-200
01.04.2015;0266022370;18210604011020000110;-758,54
01.04.2015;0266022411;18210901020040000110;-127,04
01.04.2015;0266022411;18210501011010000110;-217677,13
01.04.2015;0266022411;18210604011020000110;-388,6
01.04.2015;0266000104;18210901020040000110;-134,49
01.04.2015;0266000104;18210904010020000110;-223,98
01.04.2015;0266000104;18210502020020000110;-2697,95
01.04.2015;0266000104;18210907032040000110;-805,3
01.04.2015;0266000104;18210907052040000110;-4680
01.04.2015;0266000104;18210904030010000110;-267,39
01.04.2015;0266000104;18210906010020000110;-43617,51
01.04.2015;0266000104;18210301000010000110;-19763,77
01.04.2015;0266002905;18210908040080000140;-230923,79
01.04.2015;0266002905;18210101012020000110;-6772
01.04.2015;0266005230;18210101011010000110;0
01.04.2015;0266005230;18210301000010000110;-306
01.04.2015;0266005230;18210909010010000110;-380186,51
01.04.2015;0266005230;18210301000010000110;-6813097,35
01.04.2015;0266005230;18210604011020000110;-6911,61
01.04.2015;0266005230;18210602010020000110;-468884,98
01.04.2015;0266005230;18210101012020000110;0
01.04.2015;0266005230;18210909030080000110;-20028,25
01.04.2015;0266020870;18211603010010000140;-800
01.04.2015;0266020870;18210101012020000110;-1800
01.04.2015;0266020870;18210602010020000110;-96751,24
01.04.2015;0266020870;18210909030080000110;-31054,66
01.04.2015;0266020870;18210602020020000110;-6172
01.04.2015;0266020870;18210301000010000110;-46100
01.04.2015;0266020870;18210101011010000110;-200
01.04.2015;0266020870;18210909010010000110;-181993,72
01.04.2015;0266020870;18210604011020000110;-1451,65
01.04.2015;0266020870;18210909020070000110;-31629,45
01.04.2015;0266013103;18210102010010000110;-3650,23
01.04.2015;0266006473;18210604011020000110;-58525,69
01.04.2015;0266006473;18210301000010000110;-90800,93
01.04.2015;0266006473;18210102010010000110;-1095828,26
01.04.2015;0266006473;18210501050010000110;-219804
01.04.2015;0266006473;18210606032040000110;-232,82
01.04.2015;0266006473;18210101012020000110;-25084,93
01.04.2015;0266006473;18210301000010000110;-44445,8
01.04.2015;0266006473;18210602010020000110;-330,04
01.04.2015;0266007903;18210908020060000140;-559
01.04.2015;0266007903;18210301000010000110;-15666,06
01.04.2015;0266007903;18210908030070000140;-935,16
01.04.2015;0266008520;18210908040080000140;0
01.04.2015;0266008520;18210501011010000110;-3480,27
01.04.2015;0266000263;18210909020070000110;-997,02
01.04.2015;0266000263;18210909030080000110;-101,77
01.04.2015;0266008181;18210907032040000110;-272,84
01.04.2015;0266005575;18210301000010000110;-299092,2
01.04.2015;0266008431;18210101011010000110;-7573,37
01.04.2015;0266008431;18210901020040000110;-198
01.04.2015;0266008431;18210907052040000110;-23211,15
01.04.2015;0266005092;18210901020040000110;-140,42
01.04.2015;0266005092;18210301000010000110;-26504,71
01.04.2015;0266005092;18210905050010000110;-4186,4
01.04.2015;0266005092;18210101012020000110;-477,24
01.04.2015;0266005092;18210101011010000110;-364,31
01.04.2015;0266005092;18210904010020000110;-1183,6
01.04.2015;0266005423;18210501011010000110;-234029,64
01.04.2015;0266005423;18210606032040000110;-824,87
01.04.2015;0266005423;18210604011020000110;-198,23
01.04.2015;0274992903;18210606032040000110;-326
01.04.2015;0266015679;18210301000010000110;-1000
01.04.2015;0266003017;18210905050010000110;-847,26
01.04.2015;0266003017;18210908040080000140;-801,2
01.04.2015;0266003017;18210102010010000110;-861,99
01.04.2015;0266003017;18210301000010000110;-10652,93
01.04.2015;0266003017;18210101012020000110;-22781,29
01.04.2015;0266003017;18210901020040000110;-6941,33
01.04.2015;0266003017;18210101011010000110;-17304,85
01.04.2015;0266011321;18210101012020000110;-4515,99
01.04.2015;0266011321;18210905050010000110;-2501,9
01.04.2015;0266011321;18210906010020000110;-5889,42
01.04.2015;0266011321;18210301000010000110;-1586,76
01.04.2015;0266011321;18210904030010000110;-3267,54
01.04.2015;0266011321;18210102010010000110;-28719,42
01.04.2015;0266011321;18210101011010000110;-2625,8
01.04.2015;0266011321;18210904010020000110;-16909,62
01.04.2015;0274018377;18210906010020000110;-12227,42
01.04.2015;0278038737;18211603010010000140;-500
01.04.2015;0266012036;18210301000010000110;-1466197,29
01.04.2015;0266012036;18210101011010000110;0
01.04.2015;0266012036;18210102010010000110;13609,17
01.04.2015;0266012036;18210602010020000110;-4255,46
01.04.2015;0266012036;18210604011020000110;-10964,52
01.04.2015;0266012036;18211603010010000140;0
01.04.2015;0263012870;18210102010010000110;-10403
01.04.2015;0266017771;18210301000010000110;-15570,14
01.04.2015;0266017771;18210602010020000110;-1326922,51
01.04.2015;0266022115;18210602010020000110;-179,12
01.04.2015;0266024144;18210501021010000110;-4372,05
01.04.2015;0276046108;18210101012020000110;-1665,2
01.04.2015;7708750839;18210101012020000110;-13860,81
01.04.2015;0276128142;18210102010010000110;-47821,1
01.04.2015;0268041064;18210502010020000110;-18481,57
01.04.2015;7445021390;18210101012020000110;-272,44
01.04.2015;7718684840;18210101012020000110;-66709,07
01.04.2015;7708153631;18210604011020000110;-205,14
01.04.2015;7708176614;18210101012020000110;-562211,57
01.04.2015;7714837982;18210604011020000110;-593,78
01.04.2015;0254012546;18211603010010000140;-200
01.04.2015;7719646847;18210604011020000110;-26082,42
01.04.2015;7701027236;18210101012020000110;-6325,15
01.04.2015;7716526213;18210101012020000110;-3391,98
01.04.2015;0278144809;18210604011020000110;-1463,54
01.04.2015;0278144809;18210502010020000110;-5695
01.04.2015;1833037631;18211603010010000140;-200
01.04.2015;1833037631;18210101012020000110;-22934,31
01.04.2015;7719524655;18210605000020000110;-1635142,45
01.04.2015;0278092124;18210101012020000110;-2811,01
01.04.2015;0266033396;18210502010020000110;-1000
